game_name,link,recent_review_positivity,recent_reivew_nvotes,recent_review_percentage,all_review_positivity,all_review_nvotes,all_review_percentage,release_date,developer,features,recent_review_nvotes
Destiny 2,https://store.steampowered.com/app/1085660/Destiny_2/,NaN,NaN,NaN,Mostly Positive," 21,357", 73,"1 Oct, 2019",Bungie ,0.0,
CODE VEIN,https://store.steampowered.com/app/678960/CODE_VEIN/,NaN,NaN,NaN,Very Positive," 4,028", 83,"26 Sep, 2019",BANDAI NAMCO Entertainment,,
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,Mostly Positive,, 78,Very Positive," 300,820", 83,"1 Dec, 2015",Ubisoft Montreal,," 4,092"
Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/,Mixed,, 55,Mostly Positive," 459,605", 72,"14 Apr, 2015",Rockstar North,," 5,529"
Warframe,https://store.steampowered.com/app/230410/Warframe/,Very Positive,, 84,Very Positive," 276,465", 92,"25 Mar, 2013",Digital Extremes,, 476
Rocket League®,https://store.steampowered.com/app/252950/Rocket_League/,Mostly Positive,, 79,Very Positive," 215,802", 92,"7 Jul, 2015","Psyonix, Inc.",," 1,315"
Sid Meier’s Civilization® VI,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/,Mixed,, 62,Mixed," 42,835", 69,"20 Oct, 2016",Firaxis Games,, 446
PLAYERUNKNOWN'S BATTLEGROUNDS,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/,Mixed,, 46,Mixed," 878,165", 50,"21 Dec, 2017",PUBG Corporation,," 4,827"
Black Desert Online,https://store.steampowered.com/app/582660/Black_Desert_Online/,Mixed,, 65,Mixed," 16,481", 67,"24 May, 2017",Pearl Abyss,, 218
Cube World,https://store.steampowered.com/app/1128000/Cube_World/,NaN,NaN,NaN,Mixed," 4,202", 45,"30 Sep, 2019",Picroma,,
Path of Exile,https://store.steampowered.com/app/238960/Path_of_Exile/,Mostly Positive,, 74,Very Positive," 95,409", 92,"23 Oct, 2013",Grinding Gear Games,, 667
Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/,Mostly Positive,, 73,Mostly Positive," 160,854", 78,"14 Jun, 2016",Behaviour Digital Inc.,," 2,756"
Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/,Very Positive,, 94,Overwhelmingly Positive," 148,572", 96,"12 Oct, 2012",SCS Software,," 1,526"
Farming Simulator 19,https://store.steampowered.com/app/787860/Farming_Simulator_19/,Mostly Positive,, 76,Mostly Positive," 7,987", 79,"19 Nov, 2018",Giants Software,, 190
Dota 2,https://store.steampowered.com/app/570/Dota_2/,Mostly Positive,, 79,Very Positive," 1,063,230", 85,"9 Jul, 2013",Valve,," 6,846"
Total War: WARHAMMER II,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/,Mixed,, 66,Very Positive," 20,520", 87,"28 Sep, 2017",CREATIVE ASSEMBLY,, 600
Remnant: From the Ashes,https://store.steampowered.com/app/617290/Remnant_From_the_Ashes/,Mostly Positive,, 74,Mostly Positive," 9,912", 79,"19 Aug, 2019",Gunfire Games,," 1,739"
GreedFall,https://store.steampowered.com/app/606880/GreedFall/,NaN,NaN,NaN,Mostly Positive," 3,315", 78,"9 Sep, 2019",Focus Home Interactive,,
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/,Mixed,, 57,Mostly Positive," 119,202", 79,"15 Aug, 2013",Gaijin Entertainment,," 1,164"
Hunt: Showdown,https://store.steampowered.com/app/594650/Hunt_Showdown/,Mixed,, 63,Mostly Positive," 29,434", 76,"27 Aug, 2019",Crytek,, 984
